Word,Frequency
usual,72
world,71
na,71
barbeque,71
combination,71
rather,71
buy,71
roof,71
later,71
lime,71
afternoon,71
mean,70
nd,70
plan,69
steam,69
desserts,69
personal,69
someone,69
hence,69
due,69
mood,68
crave,68
become,68
hygiene,68
foodie,68
la,68
easily,68
classic,68
personally,68
entire,68
stop,68
write,68
spacious,68
recently,67
able,67
cozy,67
mostly,67
pulav,66
irani,66
wow,66
lady,66
boy,65
street,65
stick,65
maybe,65
atmosphere,65
picture,65
appreciate,64
owner,64
sea,64
liked,64
slightly,64
consider,64
free,64
broccoli,64
month,64
limit,64
bud,64
apple,64
meet,64
honey,64
continental,63
allow,63
budget,63
plus,63
cupcake,63
kheer,62
company,62
job,62
manage,62
affordable,62
cup,62
professional,62
peri,62
joint,62
panner,61
feedback,61
response,61
member,61
believe,61
brand,61
murg,61
complain,61
chip,61
strong,61
local,61
roast,61
trust,60
french,60
thin,60
corporate,60
rich,60
spoil,60
accept,60
virgin,60
stomach,60
car,59
watch,59
opt,59
makhni,59
ipl,59
problem,59
creamy,58
quiet,58
wall,58
sufficient,58
dip,58
bamboo,58
milk,58
govind,58
crust,57
vanilla,57
read,57
velvet,57
american,57
buck,57
move,57
rat,57
present,57
baby,57
ac,57
sometimes,57
season,57
attentive,57
heaven,57
blend,57
cheer,57
similar,57
across,57
aroma,57
mocktail,57
keema,56
bone,56
fit,56
coconut,56
sln,56
banana,56
touch,56
forward,56
schezwan,56
complimentary,56
ginger,55
salty,55
italian,55
costly,55
easy,55
run,55
burnt,55
pav,55
occasion,54
peaceful,54
hardly,54
remember,54
pool,54
behaviour,54
pick,54
orange,53
dahi,53
marinate,53
okayish,53
perfection,53
urban,53
loved,53
spoon,53
empty,53
kfc,53
soo,53
host,52
dlf,52
toast,52
heart,52
shop,52
choco,52
stone,52
nachos,52
concept,52
mayo,52
ready,52
exactly,51
hear,51
paradise,51
speak,51
smile,51
shah,51
beverage,51
momo,51
texture,51
ala,51
face,51
store,51
signature,51
load,51
sushi,51
icecream,51
heavy,51
sugar,50
instagram,50
appetizer,50
biscuit,50
vibe,50
together,50
ingredient,50
hill,50
shot,50
hype,50
calm,50
discount,50
limited,49
bike,49
celebrate,49
rumali,49
coriander,49
bother,49
cooky,49
towards,49
increase,49
humble,49
note,49
game,49
serf,49
bollywood,49
environment,49
terminus,49
cheesecake,48
refresh,48
asia,48
spot,48
pricing,48
blue,48
impressed,48
attend,48
ki,48
basic,48
balance,48
dragon,48
attention,48
craving,48
case,48
delicacy,47
eye,47
brew,47
manchow,47
prepared,47
relax,47
ghouse,47
cheesy,47
boneless,47
man,47
blow,47
sorry,47
oh,47
nicely,47
air,47
plastic,47
crazy,47
entry,47
plain,47
com,46
consistency,46
fully,46
casual,46
head,46
fall,46
ball,46
truly,46
packing,46
pao,46
raw,46
stag,46
fact,46
share,46
maggie,46
coat,46
difficult,46
nut,45
lose,45
total,45
doubt,45
royal,45
earlier,45
omelette,45
inform,45
pic,45
complaint,45
milkshake,45
event,45
neither,45
upon,45
preparation,45
recommendation,45
arabian,44
alcohol,44
spinach,44
beef,44
didnt,44
whenever,44
various,44
rush,44
reservation,44
pista,44
atleast,44
moment,44
attitude,44
selection,44
andhra,43
suppose,43
shorba,43
cancel,43
rs,43
daal,43
short,43
impressive,43
enjoyed,43
several,43
walk,43
hunger,43
pancake,43
wonder,43
kinda,43
wedge,43
kung,43
nearby,42
terrible,42
dhaba,42
recommended,42
product,42
hit,42
soothe,42
worthy,42
system,42
wife,42
opposite,42
card,42
smoke,42
swiggy,42
despite,42
caramel,42
cut,42
throw,42
croissant,42
true,41
classy,41
kaju,41
beyond,41
ordinary,41
early,41
chance,41
app,41
pineapple,41
respond,41
notch,41
deserve,41
mexican,41
delay,41
coz,41
business,40
deal,40
rib,40
damn,40
remind,40
interest,40
strawberry,40
spring,40
sizzle,40
carrot,40
typical,40
medium,40
tangdi,40
setup,40
karachi,40
sound,39
kudos,39
within,39
lit,39
toss,39
mild,39
bhature,39
freshly,39
vfm,39
corner,39
deny,39
dint,39
celebration,39
replace,39
fav,39
fancy,39
terrace,39
halwa,39
blueberry,39
gobi,38
chaat,38
self,38
nation,38
daawat,38
parcel,38
steak,38
bottle,38
interesting,38
goa,38
dining,38
topping,38
four,38
summer,38
litti,38
pure,38
popcorn,37
wan,37
none,37
behavior,37
whatever,37
begin,37
hi,37
test,37
bun,37
dark,37
feast,37
hell,37
lababdar,37
outstanding,37
satisfied,37
ulavacharu,37
popular,37
accord,37
respect,36
drive,36
refund,36
garden,36
ate,36
girl,36
notice,36
nugget,36
zega,36
hyatt,36
neat,36
drumstick,36
seekh,36
update,36
tasted,36
feeling,36
disgust,36
mayonnaise,35
out,35
cant,35
sheraton,35
behave,35
seriously,35
thoroughly,35
parantha,35
moreover,35
lip,35
ppl,35
alot,35
wild,35
idea,35
barbecue,35
hyd,35
jonathan,35
mainly,35
beside,35
slice,35
post,34
answer,34
pavilion,34
gosht,34
smooth,34
english,34
soda,34
stuffed,34
beat,34
labonel,34
color,34
flavourful,34
drop,34
ensure,34
cutlery,34
unfortunately,34
romantic,34
briyani,34
meetha,33
original,33
pot,33
version,33
cucumber,33
class,33
succulent,33
tiny,33
zero,33
almond,33
smack,33
negative,33
fail,33
separate,33
saw,33
chair,33
design,33
undercooked,33
search,33
equally,33
gud,33
exceptional,33
everytime,32
thats,32
cause,32
faasos,32
mini,32
save,32
samosa,32
repeat,32
instruction,32
entrance,32
financial,32
honestly,32
detail,32
premium,32
brilliant,32
catch,32
morning,32
lil,32
mistake,32
regard,32
grilled,32
require,32
tangy,32
bagel,32
remain,32
ruin,32
die,32
vepudu,32
cooked,32
courtesy,31
spaghetti,31
nawabi,31
via,31
quickly,31
concern,31
sense,31
thought,31
condition,31
sort,31
traditional,31
tikki,31
crunchy,31
pickle,31
ab,31
tiramisu,31
baker,31
galouti,31
jumbo,31
desi,31
shack,30
crab,30
kurkure,30
hop,30
front,30
chunk,30
puri,30
goan,30
door,30
district,30
valet,30
regret,30
accompany,30
mall,30
rajma,30
sometime,30
hygienic,30
ghee,30
often,30
tad,30
chiken,30
ravioli,30
manchuria,30
chokha,30
serving,30
somehow,30
explain,30
vada,30
tip,30
god,29
unlike,29
st,29
banjara,29
certainly,29
par,29
plenty,29
deep,29
bunch,29
dirty,29
bartender,29
delhi,29
cute,29
olive,29
bitter,29
leg,29
wine,29
burn,29
speciality,29
basically,29
papiya,29
dim,29
puff,29
golden,29
layer,29
heat,29
extraordinary,29
collection,29
clear,29
arena,29
handle,29
ahead,28
court,28
particular,28
lively,28
contact,28
crisp,28
conversation,28
death,28
uncooked,28
memorable,28
breast,28
immediately,28
excite,28
appeal,28
tawa,28
pour,28
alfredo,28
matter,28
fabulous,28
kofta,28
initially,28
anywhere,28
break,28
buddy,28
sunny,28
health,28
effort,28
land,28
shawarmas,28
ignore,28
basil,28
chili,28
stock,28
kadai,28
strongly,27
chew,27
whether,27
thumb,27
tiki,27
support,27
invite,27
continue,27
anyway,27
line,27
unless,27
ample,27
papdi,27
awsome,27
nutella,27
overprice,27
frio,27
prism,27
satisfaction,27
click,27
return,27
surprisingly,27
shivam,27
syrup,27
generous,27
reserve,27
possible,27
hakka,27
coke,27
achari,27
radisson,27
dosa,27
cashew,27
donuts,27
belly,27
pie,27
folk,27
impress,27
rock,27
boil,27
bean,27
hazelnut,26
cherry,26
frequent,26
tummy,26
accommodate,26
tandoor,26
awful,26
future,26
tofu,26
raan,26
diner,26
comment,26
anniversary,26
kheema,26
confuse,26
important,26
chop,26
amritsari,26
berry,26
patty,26
palate,26
unprofessional,26
vintage,26
recipe,26
sum,25
seafood,25
ring,25
parking,25
listen,25
cleanliness,25
situate,25
